kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
8880317,K07915.01,,CANDIDATE,CANDIDATE,0.324,0,0,0,0,382.5891,0.1096,-0.1096,0.042,11.7,298.2,2.15,0.65,-0.43,305.0,2.05,10.5,1.0,q1_q17_dr25_tce,6337.0,4.261,1.239,289.92197,45.10392,13.678
8750503,K07910.01,,FALSE POSITIVE,FALSE POSITIVE,0.074,1,0,0,0,11.9283194,0.0003203,-0.0003203,0.052,6.69,182.5,0.98,0.1,-0.1,632.0,37.8,10.6,1.0,q1_q17_dr25_tce,5010.0,4.545,0.75,290.64545,44.904202,15.577
8639155,K07902.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.603351522,1.281e-06,-1.281e-06,0.46,0.8358,164.1,3.91,0.6,-1.48,3730.0,45493.51,20.6,1.0,q1_q17_dr25_tce,6240.0,3.679,2.948,296.78802,44.7696,12.959
9021047,K07919.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,31.97280045,9.039e-05,-9.039e-05,0.935,4.9,2236.4,5.88,1.87,-0.62,626.0,36.33,44.8,1.0,q1_q17_dr25_tce,6340.0,4.457,1.01,291.49545,45.378941,15.248
8587439,K07899.01,,FALSE POSITIVE,FALSE POSITIVE,0.002,0,0,1,0,8.39140024,5.862e-05,-5.862e-05,0.342,1.193,134.4,1.1,0.28,-0.2,921.0,169.89,9.2,1.0,q1_q17_dr25_tce,5892.0,4.389,0.935,300.18503,44.635578,14.13
8712863,K07908.01,,FALSE POSITIVE,FALSE POSITIVE,0.168,1,0,0,0,0.532493086,2.601e-06,-2.601e-06,0.558,2.145,19.9,1.87,0.22,-0.86,4893.0,135046.96,8.9,1.0,q1_q17_dr25_tce,6894.0,3.476,4.032,299.25092,44.856091,11.238
9079915,K07922.01,,FALSE POSITIVE,FALSE POSITIVE,0.007,0,0,1,0,0.812678859,4.141e-06,-4.141e-06,0.664,0.841,39.3,0.83,0.27,-0.09,2403.0,7917.14,7.4,1.0,q1_q17_dr25_tce,6636.0,4.349,1.236,287.89935,45.417488,13.513
10208894,K08199.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,183.836254,0.005393,-0.005393,0.956,13.088,1046.2,51.64,8.93,-13.39,852.0,124.46,15.7,1.0,q1_q17_dr25_tce,4959.0,2.569,11.963,292.32233,47.255112,13.993
10214873,K08200.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,5.959695593,,,0.626,1.8383,151.2,1.13,0.32,-0.1,937.0,182.4,4.7,1.0,q1_q17_dr25_tce,5717.0,4.538,0.884,294.56131,47.298092,14.331
10253977,K08201.01,,CANDIDATE,CANDIDATE,0.216,0,0,0,0,392.601892,0.008911,-0.008911,0.713,3.21,779.0,2.25,0.34,-0.2,204.0,0.41,7.8,1.0,q1_q17_dr25_tce,5307.0,4.605,0.753,281.87015,47.394989,14.382
